Cliente,Grupo económico,Ventas Netas (USD),Provincia,Localidad,Cód. Postal de entrega,Direccion completa,Latitud,Longitud
"BENITO ROGGIO E HIJOS S.A.-CLIBA INGENIERIA, AMBIENTAL SA - UTE",GRUPO CLIBA,589484.69,CAPITAL FEDERAL,CAPITAL FEDERAL,1609,"1609, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
SOLBAYRES S.A.,GRUPO PESCARMONA,429689.78,CAPITAL FEDERAL,CAPITAL FEDERAL,1650,"1650, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5823874,-58.4446243
"CERRO VANGUARDIA SA, .","CERRO VANGUARDIA SA, .",259484.69,SANTA CRUZ,PUERTO SAN JULIAN,9310,"9310, PUERTO SAN JULIAN, SANTA CRUZ, Argentina",-49.3067428,-67.7371851
JUAN ROCCA S.R.L,JUAN ROCCA S.R.L,235212.08,BUENOS AIRES,GENERAL RODRIGUEZ,1748,"1748, GENERAL RODRIGUEZ, BUENOS AIRES, Argentina",-34.6027866,-58.4529961
TRANSUR S.A.,TRANSUR S.A.,214855.97,BUENOS AIRES,PILAR,1629,"1629, PILAR, BUENOS AIRES, Argentina",-34.6551145,-58.5079194
TRANSPORTES OLIVOS SACIYF-URBASER ARG.,GRUPO TOSA-OLIVOS,203657.82,CAPITAL FEDERAL,CAPITAL FEDERAL,1287,"1287, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6388352,-58.3819583
TRANSPORTES OLIVOS SACIYF,GRUPO TOSA-OLIVOS,183568.94,CAPITAL FEDERAL,CAPITAL FEDERAL,1603,"1603, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
PARTSCAM S.R.L.,PARTSCAM S.R.L.,160098.53,BUENOS AIRES,CABA,3265,"3265, CABA, BUENOS AIRES, Argentina",-34.6083696,-58.4440583
TECHINT COMPAÑIA TECNICA INTERNACIONAL S.A.,TECHINT COMPAÑIA TECNICA INTERNACIONAL S.A.,154276.91,CAPITAL FEDERAL,CAPITAL FEDERAL,1106,"1106, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6059659,-58.3654705
URBACORDOBA S.A.,GRUPO TOSA-OLIVOS,145486.1,CORDOBA,CORDOBA,5017,"5017, CORDOBA, CORDOBA, Argentina",-31.4686742,-64.2133993
AESA ASEO Y ECOLOGIA S.A.,GRUPO VEOLIA,124217.43,BUENOS AIRES,VICENTE LOPEZ,1167,"1167, VICENTE LOPEZ, BUENOS AIRES, Argentina",-37.3031282,-59.1504069
